"","EMPLOYMENT.STATUS","GENDER"
"4","Employed full time","Man"
"5","Full time student","Man"
"7","Employed full time","Man"
"8","Employed full time","Man"
"10","Full time student","Man"
"11","Full time student","Man"
"12","Employed full time","Man"
"13","Employed full time","Man"
"15","Employed full time","Man"
"16","Employed full time","Man"
"18","Employed full time","Man"
"19","Full time student","Man"
"20","Employed full time","Man"
"21","Employed full time","Man"
"22","Employed full time","Man"
"26","Employed full time","Man"
"27","Employed full time","Man"
"28","Full time student","Man"
"29","Employed full time","Man"
"30","Employed full time","Man"
"32","Full time student","Man"
"35","Other - please describe","Man"
"37","Employed full time","Man"
"38","Employed full time","Man"
"39","Employed full time","Man"
"40","Employed full time","Man"
"41","Employed full time","Man"
"42","Employed full time","Man"
"43","Employed full time","Man"
"44","Full time student","Man"
"47","Employed full time","Man"
"48","Employed full time","Man"
"49","Employed full time","Man"
"51","Temporarily not working","Man"
"53","Employed full time","Man"
"54","Employed full time","Man"
"55","Employed full time","Man"
"57","Employed full time","Man"
"59","Temporarily not working","Man"
"60","Employed full time","Man"
"64","Temporarily not working","Man"
"66","Other - please describe","Man"
"68","Employed full time","Prefer not to say"
"70","Temporarily not working","Man"
"76","Employed full time","Man"
"78","Employed full time","Man"
"80","Full time student","Man"
"81","Full time student","Woman"
"83","Employed full time","Man"
"85","Employed full time","Man"
"86","Temporarily not working","Man"
"87","Employed full time","Man"
"88","Full time student","Man"
"89","Employed full time","Man"
"91","Employed full time","Man"
"92","Employed part time","Man"
"93","Employed full time","Man"
"94","Full time student","Man"
"95","Other - please describe","Man"
"96","Employed full time","Man"
"97","Employed full time","Man"
"98","Employed full time","Prefer not to say"
"99","Employed full time","Man"
"103","Employed full time","Man"
"105","Employed full time","Woman"
"106","Employed full time","Man"
"108","Full time student","Man"
"110","Full time student","Man"
"111","Employed full time","Man"
"112","Employed full time","Man"
"113","Employed full time","Man"
"117","Employed full time","Man"
"118","Employed full time","Man"
"119","Employed full time","Woman"
"120","Employed part time","Prefer not to say"
"121","Employed full time","Man"
"125","Employed full time","Man"
"126","Employed full time","Non-binary  or Other"
"128","Employed full time","Man"
"130","Employed full time","Man"
"131","Employed full time","Man"
"132","Employed full time","Man"
"134","Employed full time","Man"
"135","Other - please describe","Man"
"137","Full time student","Non-binary  or Other"
"138","Full time student","Man"
"139","Employed full time","Man"
"140","Employed full time","Man"
"141","Employed full time","Man"
"143","Employed full time","Man"
"144","Employed part time","Man"
"145","Employed full time","Man"
"146","Employed full time","Man"
"147","Full time student","Man"
"148","Temporarily not working","Man"
"150","Employed full time","Man"
"152","Employed full time","Man"
"153","Employed full time","Man"
"154","Employed full time","Man"
"155","Employed full time","Man"
"157","Full time student","Man"
"158","Employed full time","Man"
"160","Full time student","Man"
"162","Retired or permanently not working (e.g. due to disability)","Man"
"163","Employed full time","Man"
"164","Employed full time","Man"
"166","Employed full time","Man"
"170","Full time student","Man"
"174","Employed full time","Man"
"176","Employed full time","Man"
"180","Employed full time","Man"
"182","Employed full time","Man"
"183","Full time student","Man"
"184","Employed full time","Man"
"186","Employed full time","Man"
"188","Full time student","Man"
"190","Employed full time","Man"
"191","Employed full time","Man"
"192","Employed full time","Man"
"193","Full time student","Man"
"195","Employed full time","Man"
"198","Employed full time","Man"
"199","Employed full time","Man"
"200","Employed full time","Man"
"201","Employed full time","Man"
"202","Temporarily not working","Man"
"205","Employed full time","Man"
"208","Employed full time","Man"
"209","Employed full time","Man"
"212","Employed full time","Man"
"213","Employed full time","Man"
"215","Employed full time","Man"
"216","Employed full time","Man"
"223","Employed full time","Man"
"224","Employed full time","Man"
"225","Employed full time","Man"
"230","Temporarily not working","Man"
"231","Employed full time","Man"
"232","Employed full time","Man"
"233","Employed full time","Man"
"235","Employed full time","Man"
"238","Employed full time","Woman"
"239","Employed full time","Man"
"241","Employed full time","Man"
"243","Employed full time","Man"
"244","Employed full time","Man"
"246","Employed full time","Man"
"247","Employed full time","Man"
"248","Employed full time","Man"
"250","Employed full time","Man"
"251","Employed full time","Man"
"252","Employed part time","Man"
"253","Employed full time","Man"
"256","Employed full time","Man"
"257","Employed full time","Man"
"259","Employed full time","Man"
"260","Employed full time","Prefer not to say"
"261","Employed part time","Man"
"262","Employed full time","Prefer not to say"
"263","Employed full time","Man"
"264","Full time student","Man"
"265","Employed part time","Man"
"268","Employed full time","Man"
"269","Employed full time","Man"
"270","Temporarily not working","Man"
"271","Employed full time","Man"
"273","Employed full time","Non-binary  or Other"
"275","Full time student","Man"
"277","Employed full time","Man"
"278","Employed full time","Man"
"279","Employed part time","Man"
"280","Full time student","Man"
"281","Employed full time","Man"
"282","Employed full time","Man"
"285","Employed full time","Man"
"290","Employed full time","Man"
"293","Employed full time","Man"
"294","Employed full time","Man"
"296","Employed full time","Man"
"297","Employed full time","Man"
"298","Full time student","Man"
"300","Employed full time","Man"
"302","Employed full time","Man"
"305","Employed full time","Man"
"308","Employed full time","Man"
"309","Full time student","Man"
"310","Employed full time","Man"
"311","Employed full time","Man"
